id,t,y,sd,n ,  rob   
1,2,20.20,12.20,45,U
1,3,18.00,13.20,42,U
1,4,21.30,11.90,42,U
1,1,21.60,9.80,45,U
2,2,16.70,14.90,138,U
2,1,18.60,14.10,134,U
3,2,15.10,8.90,97,U
3,1,19.50,9.40,51,U
4,5,21.00,6.80,25,U
4,1,22.40,7.20,26,U
5,5,21.20,0.99,51,U
5,1,22.60,0.99,49,U
6,2,10.80,9.00,43,U
6,1,17.00,12.10,43,U
7,3,19.00,9.50,45,U
7,1,18.40,9.10,35,U
8,5,13.00,6.58,15,U
8,1,18.80,6.58,13,U
9,2,10.70,1.30,30,U
9,1,21.90,1.20,30,U
10,2,14.32,1.19,42,U
10,3,8.05,2.16,21,U
10,4,11.50,1.06,42,U
11,5,16.60,2.40,32,U
11,1,20.80,2.50,32,U
12,3,17.10,2.80,24,U
12,1,31.00,2.50,24,U
13,5,11.60,8.80,68,U
13,1,15.10,8.70,68,U
